State,Natural gas (Trillion Btu),Distillate fuel - diesel (Trillion Btu),Jet fuel (Trillion Btu),Motor gasoline (Trillion Btu),Residual fuel (Trillion Btu),Other (Trillion Btu),Total petroleum (Trillion Btu),Ethanol (Trillion Btu),Electricity (Trillion Btu),Net energy (Trillion Btu),Electrical system energy losses (Trillion Btu),Total (Trillion Btu)
Alabama,22.70 ,117.30 ,13.20 ,308.20 ,5.00 ,3.00 ,446.80 ,21.70 ,0.00 ,469.50 ,0.00 ,469.50 
Alaska,0.90 ,32.00 ,107.30 ,31.30 ,0.00 ,1.20 ,171.90 ,1.70 ,0.00 ,172.80 ,0.00 ,172.80 
Arizona,14.90 ,106.60 ,21.00 ,314.00 ,0.00 ,3.30 ,444.90 ,19.90 ,0.00 ,459.80 ,0.00 ,459.80 
Arkansas,11.80 ,91.20 ,6.00 ,164.50 ,0.00 ,2.80 ,264.50 ,11.60 ,0.00 ,276.30 ,0.00 ,276.30 
California,27.90 ,438.10 ,563.10 ,1727.10 ,124.10 ,19.60 ,2872.00 ,121.70 ,2.90 ,2902.80 ,5.10 ,2907.80 
Colorado,10.20 ,80.40 ,53.50 ,254.50 ,0.00 ,2.80 ,391.30 ,14.80 ,0.20 ,401.70 ,0.50 ,402.20 
Connecticut,4.50 ,38.30 ,10.80 ,171.00 ,0.00 ,1.60 ,221.60 ,12.10 ,0.60 ,226.80 ,1.20 ,228.00 
Delaware,1.00 ,8.10 ,0.70 ,51.00 ,0.50 ,0.60 ,60.90 ,3.60 ,0.00 ,62.00 ,0.00 ,62.00 
District of Columbia,2.50 ,2.00 ,0.00 ,11.50 ,0.00 ,0.20 ,13.70 ,0.80 ,1.10 ,17.30 ,2.40 ,19.80 
Florida,12.80 ,225.20 ,180.20 ,981.80 ,57.40 ,7.70 ,1452.30 ,64.50 ,0.30 ,1465.40 ,0.60 ,1466.00 
Georgia,9.30 ,181.00 ,22.60 ,576.50 ,26.90 ,5.20 ,812.30 ,37.90 ,0.50 ,822.20 ,1.00 ,823.20 
Hawaii,0.00 ,17.70 ,64.20 ,53.30 ,5.50 ,0.40 ,141.20 ,3.00 ,0.00 ,141.20 ,0.00 ,141.20 
Idaho,6.20 ,41.40 ,4.30 ,81.60 ,0.00 ,1.00 ,128.40 ,4.80 ,0.00 ,134.60 ,0.00 ,134.60 
Illinois,27.80 ,219.20 ,137.60 ,548.90 ,0.10 ,10.60 ,916.30 ,38.70 ,2.00 ,946.10 ,4.30 ,950.40 
